filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
handcrafted/0_4/single-function/low-level-call/to-sender/guard/access-control/OnlyOwner_ree1.sol,OnlyOwner_ree1.sol,aderyn,,,,,0.44,1,[],,,
handcrafted/0_4/single-function/low-level-call/to-sender/guard/access-control/OnlyOwner_safe1.sol,OnlyOwner_safe1.sol,aderyn,,,,,0.44,1,"[{""severity"":""high"",""title"":""Reentrancy: State change after external call"",""detector"":""reentrancy-state-change"",""description"":""Changing state after an external call can lead to re-entrancy attacks.Use the checks-effects-interactions pattern to avoid this issue."",""contract_path"":""OnlyOwner_safe1.sol"",""line_no"":38,""hint"":""State is changed at: `delete pendingPayments`""},{""severity"":""low"",""title"":""`nonReentrant` is Not the First Modifier"",""detector"":""non-reentrant-not-first"",""description"":""To protect against reentrancy in other modifiers, the `nonReentrant` modifier should be the first modifier in the list of modifiers."",""contract_path"":""OnlyOwner_safe1.sol"",""line_no"":33,""hint"":null}]",,,
handcrafted/0_4/single-function/low-level-call/to-sender/guard/access-control/OnlyOwner_safe2.sol,OnlyOwner_safe2.sol,aderyn,,,,,0.44,1,[],,,
handcrafted/0_5/single-function/low-level-call/to-sender/guard/access-control/OnlyOwner_ree1.sol,OnlyOwner_ree1.sol,aderyn,,,,,0.76,0,[],,,
handcrafted/0_5/single-function/low-level-call/to-sender/guard/access-control/OnlyOwner_safe1.sol,OnlyOwner_safe1.sol,aderyn,,,,,0.76,0,"[{""severity"":""high"",""title"":""Reentrancy: State change after external call"",""detector"":""reentrancy-state-change"",""description"":""Changing state after an external call can lead to re-entrancy attacks.Use the checks-effects-interactions pattern to avoid this issue."",""contract_path"":""OnlyOwner_safe1.sol"",""line_no"":38,""hint"":""State is changed at: `delete pendingPayments`""},{""severity"":""low"",""title"":""`nonReentrant` is Not the First Modifier"",""detector"":""non-reentrant-not-first"",""description"":""To protect against reentrancy in other modifiers, the `nonReentrant` modifier should be the first modifier in the list of modifiers."",""contract_path"":""OnlyOwner_safe1.sol"",""line_no"":33,""hint"":null}]",,,
handcrafted/0_5/single-function/low-level-call/to-sender/guard/access-control/OnlyOwner_safe2.sol,OnlyOwner_safe2.sol,aderyn,,,,,0.76,0,[],,,
handcrafted/0_8/cross-function/guard/access-control/OnlyOwner_ree1.sol,OnlyOwner_ree1.sol,aderyn,,,,,1.04,0,[],,,
handcrafted/0_8/cross-function/guard/access-control/OnlyOwner_safe1.sol,OnlyOwner_safe1.sol,aderyn,,,,,1.04,0,"[{""severity"":""high"",""title"":""Reentrancy: State change after external call"",""detector"":""reentrancy-state-change"",""description"":""Changing state after an external call can lead to re-entrancy attacks.Use the checks-effects-interactions pattern to avoid this issue."",""contract_path"":""OnlyOwner_safe1.sol"",""line_no"":38,""hint"":""State is changed at: `delete pendingPayments`""},{""severity"":""low"",""title"":""`nonReentrant` is Not the First Modifier"",""detector"":""non-reentrant-not-first"",""description"":""To protect against reentrancy in other modifiers, the `nonReentrant` modifier should be the first modifier in the list of modifiers."",""contract_path"":""OnlyOwner_safe1.sol"",""line_no"":33,""hint"":null}]",,,
handcrafted/0_8/cross-function/guard/access-control/OnlyOwner_safe2.sol,OnlyOwner_safe2.sol,aderyn,,,,,1.04,0,[],,,
handcrafted/0_8/cross-function/baseline/CrossCall_ree1.sol,CrossCall_ree1.sol,aderyn,,,,,0.61,0,[],,,
