path,toolid,TP,FP,FN,TN,total_rows
handcrafted_tests\bins\0_4\cross-contract\access-control\human\Human_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\human\Human_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\human\Human_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\human\Human_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\human\Human_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\human\Human_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\human\Human_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalLocker_ree1,conkas,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalLocker_ree1,ethor-2023,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalLocker_ree1,mythril-0.24.7,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalLocker_ree1,oyente+-060ca34,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalLocker_ree1,securify,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalLocker_ree1,teether,0,0,1,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalLocker_ree1,vandal,1,0,0,0,1
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalVault_ree1,conkas,0,0,2,0,2
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalVault_ree1,ethor-2023,0,0,2,0,2
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalVault_ree1,mythril-0.24.7,0,0,2,0,2
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalVault_ree1,oyente+-060ca34,0,0,2,0,2
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalVault_ree1,securify,0,0,2,0,2
handcrafted_tests\bins\0_4\cross-contract\access-control\temporal\TemporalVault_ree1,teether,0,0,2,0,2
