Solidity Version: 0.8
Tool,Accuracy,Precision,Recall,F1 Score,Errors
ccc,55.20,58.33,12.07,20.00,0.00
confuzzius,57.26,53.97,58.62,56.20,16.94
mythril-0.24.7,71.20,63.41,89.66,74.29,0.00
slither-0.11.3,69.60,67.86,65.52,66.67,0.00
solhint-6.0.0,49.60,27.27,5.17,8.70,0.00
oyente+-060ca34,58.40,53.85,72.41,61.76,0.00
Solidity Version: 0.5
Tool,Accuracy,Precision,Recall,F1 Score,Errors
ccc,62.81,56.25,81.82,66.67,0.00
confuzzius,57.85,53.03,63.64,57.85,15.70
conkas,80.99,76.67,83.64,80.00,0.00
mythril-0.24.7,71.07,62.50,90.91,74.07,0.00
slither-0.11.3,69.42,66.67,65.45,66.06,0.00
solhint-6.0.0,50.41,22.22,3.64,6.25,0.00
oyente+-060ca34,80.99,90.00,65.45,75.79,0.00
Solidity Version: 0.4
Tool,Accuracy,Precision,Recall,F1 Score,Errors
ccc,63.87,56.63,87.04,68.61,0.00
confuzzius,54.24,50.00,64.81,56.45,2.54
conkas,78.99,73.77,83.33,78.26,0.00
mythril-0.24.7,70.59,61.73,92.59,74.07,0.00
securify,63.87,57.53,77.78,66.14,0.00
sfuzz,54.62,50.00,14.81,22.86,3.36
slither-0.11.3,68.91,65.45,66.67,66.06,0.00
solhint-6.0.0,50.42,22.22,3.70,6.35,0.00
oyente+-060ca34,81.51,90.00,66.67,76.60,0.00
