project_name,status,project_dir,report_path,log_path,return_code,elapsed_s
emit,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/always-safe/emit,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/emit.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/emit.log,0,3.32
this,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/always-safe/this,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/this.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/this.log,0,3.43
constructor,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/always-safe/constructor,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/constructor.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/constructor.log,0,3.55
send-transfer,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/always-safe/send-transfer,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/send-transfer.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/send-transfer.log,0,3.57
create,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-contract/create,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/create.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/create.log,0,2.92
temporal,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-contract/access-control/temporal,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/temporal.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/temporal.log,0,3.03
human,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-contract/access-control/human,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/human.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/human.log,0,3.17
read-only,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-contract/read-only,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/read-only.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/read-only.log,0,2.97
to-target,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-contract/to-target,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/to-target.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/to-target.log,0,0.89
access-control,success,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/dataset/handcrafted/0_5/cross-function/guard/access-control,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/reports/access-control.json,/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/aderyn/results_0_5/logs/access-control.log,0,0.90
