filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
tests/new contracts/00_BasicEmit_ree1.sol,00_BasicEmit_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747322899.4182615,592.9842488765717,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/00_BasicEmit_safe1.sol,00_BasicEmit_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747316122.6151242,592.632515668869,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/00_BasicFold_ree1.sol,00_BasicFold_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747322013.2040927,592.3363375663757,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/00_BasicFold_ree2.sol,00_BasicFold_ree2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747315033.7936177,592.6872801780701,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/00_BasicFold_safe1.sol,00_BasicFold_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747314926.3765483,592.2401478290558,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/00_BasicFold_safe2.sol,00_BasicFold_safe2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747316855.364454,12.822070121765137,1,"{Reentrancy,Transaction_Order_Dependency}",{},"{AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)}",{exception (AttributeError: 'NoneType' object has no attribute 'as_long')}
tests/new contracts/00_Basic_ree1.sol,00_Basic_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747315901.214617,592.2496666908264,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/00_Basic_safe1.sol,00_Basic_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747315624.6321352,592.4339509010315,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/01_SingleMutexFold_ree1.sol,01_SingleMutexFold_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747323010.0999038,592.2452638149261,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/01_SingleMutexFold_ree2.sol,01_SingleMutexFold_ree2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747314630.4267325,592.3027091026306,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/01_SingleMutexFold_ree3.sol,01_SingleMutexFold_ree3.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747320143.7271748,592.5209195613861,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/01_SingleMutexFold_safe1.sol,01_SingleMutexFold_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747314229.9208016,592.298597574234,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/01_SingleMutex_ree1.sol,01_SingleMutex_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747319686.2475069,592.1154501438141,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/01_SingleMutex_ree2.sol,01_SingleMutex_ree2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747316919.1188397,11.163650512695312,1,{Reentrancy},{},"{AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)}",{exception (AttributeError: 'NoneType' object has no attribute 'as_long')}
tests/new contracts/01_SingleMutex_safe1.sol,01_SingleMutex_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747316851.3664076,592.5081157684326,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/01_SingleMutex_safe2.sol,01_SingleMutex_safe2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747314480.7829134,10.03989315032959,1,"{Reentrancy,Transaction_Order_Dependency}",{},"{AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)}",{exception (AttributeError: 'NoneType' object has no attribute 'as_long')}
tests/new contracts/02_CrossMutex_ree1.sol,02_CrossMutex_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747323202.2530189,209.06556916236877,1,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},"{AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)}","{exception (AttributeError: 'NoneType' object has no attribute 'as_long'),exception (delteed file)}"
tests/new contracts/02_CrossMutex_ree2.sol,02_CrossMutex_ree2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747313262.16726,269.3958671092987,1,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},"{AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)}",{exception (AttributeError: 'NoneType' object has no attribute 'as_long')}
tests/new contracts/02_CrossMutex_safe1.sol,02_CrossMutex_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747320170.5020096,194.87497901916504,1,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},"{AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)}",{exception (AttributeError: 'NoneType' object has no attribute 'as_long')}
tests/new contracts/02_CrossMutex_safe2.sol,02_CrossMutex_safe2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747319132.4380305,19.92435336112976,1,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},"{AttributeError exception is catched,EXIT_CODE_1,Validation error: Sender account balance cannot afford txn (ignoring for now)}",{exception (AttributeError: 'NoneType' object has no attribute 'as_long')}
tests/new contracts/03_SingleModFold_ree1.sol,03_SingleModFold_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747313409.918675,592.3998787403107,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleModFold_ree2.sol,03_SingleModFold_ree2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747314314.2259274,592.2825989723206,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleModFold_ree3.sol,03_SingleModFold_ree3.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747318751.882232,592.4676423072815,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleModFold_safe1.sol,03_SingleModFold_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747314118.0865119,592.8074114322662,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleMod_ree1.sol,03_SingleMod_ree1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747319231.9669387,592.1744077205658,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleMod_ree2.sol,03_SingleMod_ree2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747317573.6135635,592.2723689079285,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleMod_ree3.sol,03_SingleMod_ree3.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747323417.5233502,592.4068360328674,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleMod_safe1.sol,03_SingleMod_safe1.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747320967.4939983,592.56334233284,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
tests/new contracts/03_SingleMod_safe2.sol,03_SingleMod_safe2.sol,confuzzius,solidity,2022/12/31,20250515_1247,1747313395.5463657,592.4440767765045,0,"{Reentrancy,Transaction_Order_Dependency,Unhandled_Exception}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
