filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/temporal/TemporalLocker_safe1/TemporalLocker_safe1,TemporalLocker_safe1,sailfish,,,,,,,"[""dao""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/temporal/TemporalLocker_ree1/TemporalLocker_ree1,TemporalLocker_ree1,sailfish,,,,,,,,,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/gas/CallGas_safe1/CallGas_safe1,CallGas_safe1,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/to-target/ToTarget_safe1/ToTarget_safe1,ToTarget_safe1,sailfish,,,,,,,"[""tod_amount_or_receiver""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/no-mod/CrossMutex_safe3/CrossMutex_safe3,CrossMutex_safe3,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/baseline/Cast_ree1/Cast_ree1,Cast_ree1,sailfish,,,,,,,"[""dao""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/baseline/Cast_safe1/Cast_safe1,Cast_safe1,sailfish,,,,,,,,,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/baseline/CrossCall_safe2/CrossCall_safe2,CrossCall_safe2,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/baseline/Cast_safe2/Cast_safe2,Cast_safe2,sailfish,,,,,,,"[""dao""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/baseline/Call_safe1/Call_safe1,Call_safe1,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/send-transfer/Send_safe1/Send_safe1,Send_safe1,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/send-transfer/Transfer_safe2/Transfer_safe2,Transfer_safe2,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
/Users/matteorizzo/PycharmProjects/manually-verified-reentrancy-dataset/tools_analysis/non_smartbugs/sailfish/results_0_5/send-transfer/Send_safe2/Send_safe2,Send_safe2,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
