filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
0_5/always-safe/constructor/CallCons_safe1.sol,CallCons_safe1.sol,sailfish,,,,,,,,,,
0_5/always-safe/constructor/CastCons_safe1.sol,CastCons_safe1.sol,sailfish,,,,,,,,,,
0_5/always-safe/constructor/CastCons_safe2.sol,CastCons_safe2.sol,sailfish,,,,,,,,,,
0_5/always-safe/emit/CallEmit_safe1.sol,CallEmit_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/emit/CastEmit_safe1.sol,CastEmit_safe1.sol,sailfish,,,,,,,,,,
0_5/always-safe/emit/SendEmit_safe1.sol,SendEmit_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/emit/TransferEmit_safe1.sol,TransferEmit_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/send-transfer/Send_safe1.sol,Send_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/send-transfer/Send_safe2.sol,Send_safe2.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/send-transfer/Send_safe3.sol,Send_safe3.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/send-transfer/Transfer_safe1.sol,Transfer_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/send-transfer/Transfer_safe2.sol,Transfer_safe2.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/always-safe/this/This_safe1.sol,This_safe1.sol,sailfish,,,,,,,"[""tod_transfer""]",,,
0_5/always-safe/this/This_safe2.sol,This_safe2.sol,sailfish,,,,,,,,,,
0_5/cross-contract/access-control/human/Human_ree1.sol,Human_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/access-control/human/Human_safe1.sol,Human_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/access-control/temporal/TemporalLocker_ree1.sol,TemporalLocker_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/access-control/temporal/TemporalLocker_safe1.sol,TemporalLocker_safe1.sol,sailfish,,,,,,,"[""dao""]",,,
0_5/cross-contract/access-control/temporal/TemporalVault_ree1.sol,TemporalVault_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/access-control/temporal/TemporalVault_ree2.sol,TemporalVault_ree2.sol,sailfish,,,,,,,,,,
0_5/cross-contract/access-control/temporal/TemporalVault_safe1.sol,TemporalVault_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/create/Create_ree1.sol,Create_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/create/Create_ree2.sol,Create_ree2.sol,sailfish,,,,,,,"[""tod_transfer""]",,,
0_5/cross-contract/create/Create_safe1.sol,Create_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/create/Create_safe2.sol,Create_safe2.sol,sailfish,,,,,,,"[""tod_transfer""]",,,
0_5/cross-contract/read-only/ReadOnlyStaticcall_ree1.sol,ReadOnlyStaticcall_ree1.sol,sailfish,,,,,,,"[""tod_amount_or_receiver""]",,,
0_5/cross-contract/read-only/ReadOnlyStaticcall_safe1.sol,ReadOnlyStaticcall_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/read-only/ReadOnly_ree1.sol,ReadOnly_ree1.sol,sailfish,,,,,,,"[""tod_amount_or_receiver""]",,,
0_5/cross-contract/read-only/ReadOnly_ree2.sol,ReadOnly_ree2.sol,sailfish,,,,,,,,,,
0_5/cross-contract/read-only/ReadOnly_ree3.sol,ReadOnly_ree3.sol,sailfish,,,,,,,,,,
0_5/cross-contract/read-only/ReadOnly_safe1.sol,ReadOnly_safe1.sol,sailfish,,,,,,,"[""dao"", ""tod_amount_or_receiver""]",,,
0_5/cross-contract/read-only/ReadOnly_safe2.sol,ReadOnly_safe2.sol,sailfish,,,,,,,,,,
0_5/cross-contract/read-only/ReadOnly_safe3.sol,ReadOnly_safe3.sol,sailfish,,,,,,,,,,
0_5/cross-contract/to-target/ToTarget_ree1.sol,ToTarget_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-contract/to-target/ToTarget_safe1.sol,ToTarget_safe1.sol,sailfish,,,,,,,"[""tod_amount_or_receiver""]",,,
0_5/cross-function/baseline/CrossCall_ree1.sol,CrossCall_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-function/baseline/CrossCall_safe2.sol,CrossCall_safe2.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/cross-function/baseline/CrossUnderflow_safe1.sol,CrossUnderflow_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/access-control/OnlyOwner_ree1.sol,OnlyOwner_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/access-control/OnlyOwner_safe1.sol,OnlyOwner_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossDoubleInitOpenZeppelin_ree1.sol,CrossDoubleInitOpenZeppelin_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossDoubleInitOpenZeppelin_safe1.sol,CrossDoubleInitOpenZeppelin_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossDoubleInit_ree1.sol,CrossDoubleInit_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossDoubleInit_safe1.sol,CrossDoubleInit_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossMutexModOrder_ree1.sol,CrossMutexModOrder_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossMutexMod_ree1.sol,CrossMutexMod_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossMutexMod_ree2.sol,CrossMutexMod_ree2.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossMutexMod_ree3.sol,CrossMutexMod_ree3.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossMutexMod_safe1.sol,CrossMutexMod_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossMutexMod_safe2.sol,CrossMutexMod_safe2.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/mod/CrossMutexMod_safe3.sol,CrossMutexMod_safe3.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/cross-function/guard/mutex/mod/CrossMutexMod_safe4.sol,CrossMutexMod_safe4.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/no-mod/CrossMutex_ree1.sol,CrossMutex_ree1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/no-mod/CrossMutex_ree2.sol,CrossMutex_ree2.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/no-mod/CrossMutex_ree3.sol,CrossMutex_ree3.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/no-mod/CrossMutex_safe1.sol,CrossMutex_safe1.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/no-mod/CrossMutex_safe2.sol,CrossMutex_safe2.sol,sailfish,,,,,,,,,,
0_5/cross-function/guard/mutex/no-mod/CrossMutex_safe3.sol,CrossMutex_safe3.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/cross-function/guard/mutex/no-mod/CrossMutex_safe4.sol,CrossMutex_safe4.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/baseline/Call_ree1.sol,Call_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/baseline/Call_safe1.sol,Call_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/baseline/Underflow_safe1.sol,Underflow_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/folded/CallFolded_ree1.sol,CallFolded_ree1.sol,sailfish,,,,,,,"[""dao"", ""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/folded/CallFolded_ree2.sol,CallFolded_ree2.sol,sailfish,,,,,,,"[""dao"", ""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/folded/CallFolded_ree3.sol,CallFolded_ree3.sol,sailfish,,,,,,,"[""dao"", ""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/folded/CallFolded_safe1.sol,CallFolded_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/folded/CallFolded_safe2.sol,CallFolded_safe2.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/folded/CallFolded_safe3.sol,CallFolded_safe3.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/gas/CallGas_ree1.sol,CallGas_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/gas/CallGas_safe1.sol,CallGas_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/gas/CallGas_safe2.sol,CallGas_safe2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/block-number/Block_ree1.sol,Block_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/block-number/Block_safe1.sol,Block_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/block-number/Block_safe2.sol,Block_safe2.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_ree1.sol,MutexesMod_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_ree2.sol,MutexesMod_ree2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_ree3.sol,MutexesMod_ree3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_ree4.sol,MutexesMod_ree4.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_ree5.sol,MutexesMod_ree5.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_safe1.sol,MutexesMod_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_safe2.sol,MutexesMod_safe2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/mod/MutexesMod_safe3.sol,MutexesMod_safe3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_ree1.sol,Mutexes_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_ree2.sol,Mutexes_ree2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_ree3.sol,Mutexes_ree3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_ree4.sol,Mutexes_ree4.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_ree5.sol,Mutexes_ree5.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_safe1.sol,Mutexes_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_safe2.sol,Mutexes_safe2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/multi-flag/no-mod/Mutexes_safe3.sol,Mutexes_safe3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_ree1.sol,MutexMod_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_ree2.sol,MutexMod_ree2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_ree3.sol,MutexMod_ree3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_ree4.sol,MutexMod_ree4.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_ree5.sol,MutexMod_ree5.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_safe1.sol,MutexMod_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_safe2.sol,MutexMod_safe2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/mod/MutexMod_safe3.sol,MutexMod_safe3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_ree1.sol,Mutex_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_ree2.sol,Mutex_ree2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_ree3.sol,Mutex_ree3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_ree4.sol,Mutex_ree4.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_ree5.sol,Mutex_ree5.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_safe1.sol,Mutex_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_safe2.sol,Mutex_safe2.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-sender/guard/mutex/single-flag/no-mod/Mutex_safe3.sol,Mutex_safe3.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-target/constant/Constant_ree1.sol,Constant_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-target/constant/Constant_safe1.sol,Constant_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-target/constructor/Constructor_ree1.sol,Constructor_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-target/constructor/Constructor_safe1.sol,Constructor_safe1.sol,sailfish,,,,,,,"[""tod_transfer"", ""tod_amount_or_receiver""]",,,
0_5/single-function/low-level-call/to-target/parameter/Parameter_ree1.sol,Parameter_ree1.sol,sailfish,,,,,,,,,,
0_5/single-function/low-level-call/to-target/parameter/Parameter_safe1.sol,Parameter_safe1.sol,sailfish,,,,,,,"[""tod_amount_or_receiver""]",,,
0_5/single-function/method-invocation/baseline/Cast_ree1.sol,Cast_ree1.sol,sailfish,,,,,,,"[""dao""]",,,
0_5/single-function/method-invocation/baseline/Cast_safe1.sol,Cast_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/method-invocation/baseline/Cast_safe2.sol,Cast_safe2.sol,sailfish,,,,,,,"[""dao""]",,,
0_5/single-function/method-invocation/folded/CastFolded_ree1.sol,CastFolded_ree1.sol,sailfish,,,,,,,"[""dao""]",,,
0_5/single-function/method-invocation/folded/CastFolded_ree2.sol,CastFolded_ree2.sol,sailfish,,,,,,,"[""dao""]",,,
0_5/single-function/method-invocation/folded/CastFolded_ree3.sol,CastFolded_ree3.sol,sailfish,,,,,,,"[""dao""]",,,
0_5/single-function/method-invocation/folded/CastFolded_safe1.sol,CastFolded_safe1.sol,sailfish,,,,,,,,,,
0_5/single-function/method-invocation/folded/CastFolded_safe2.sol,CastFolded_safe2.sol,sailfish,,,,,,,,,,
0_5/single-function/method-invocation/folded/CastFolded_safe3.sol,CastFolded_safe3.sol,sailfish,,,,,,,,,,
